Composers,Composer last name,Famous violinists and pianists,Musical instrument,'Artist, conductor, orchestra, piece name mentioned',Genre,Piece type,completeness
Mary Anne à Beckett  ,Anne à Beckett  ,Mutter,Accordion,(named entity recognition and count),classical,Ballata,movement
Michel van der Aa ,van der Aa ,Oistrakh,Bagpipes,,romantic,Allemande,mvt
Thorvald Aagaard ,Aagaard ,Enescu,Banjo,,medieval,Bagatelle,mvt.
Truid Aagesen ,Aagesen ,Kremer,Bassoon,,renaissance,Ballad,No.
Heikki Aaltoila ,Aaltoila ,Shaham,Cello,,baroque,Ballade,number
Juhan Aavik ,Aavik ,Neveu,Clarinet,,contemporary,Ballet,No
'Evaristo Felice Dall''Abaco ','Felice Dall''Abaco ',Hahn,Cymbal,,modern,Bassoon sonata,op
Joseph Abaco  ,Abaco  ,Stern,Double bass,,postmodern,Blues,op.
Antonio Maria Abbatini ,Maria Abbatini ,Perlman,Drum,,neoclassical,Burlesque,opus
Gamal Abdel-Rahim ,Abdel-Rahim ,Jansen,Bass drum,,jazz,Cabaret,Major
Mohamed Abdelwahab Abdelfattah ,Abdelwahab Abdelfattah ,Heifetz,Bongo drum,,music,Canon,Minor
Keiko Abe ,Abe ,Bell,Snare drum,,,Cantata,
Rosalina Abejo ,Abejo ,Fischer,Timpani,,,Cantus firmus mass,
Carl Friedrich Abel ,Friedrich Abel ,Vengerov,Dulcimer,,,Canzona,
Clamor Heinrich Abel ,Heinrich Abel ,Benedetti,Flute,,,Caprice,
Ludwig Abel ,Abel ,Kennedy,French horn,,,Carol,
Mark Abel ,Abel ,Chang,Gong,,,Cello concerto,
Michael Abels ,Abels ,Mullova,Guitar,,,Cello sonata,
Peter Abelard ,Abelard ,Menuhin,Electric guitar,,,Chaconne,
Nicanor Abelardo ,Abelardo ,Andsnes,Harp,,,Chanson,
David Abell ,Abell ,Argerich,Harpsichord,,,Choral symphony,
John Abell ,Abell ,Arrau,Hurdy gurdy,,,Chromatic fantasia,
Walter Abendroth ,Abendroth ,Ashkenazy,'Jew''s harp',,,Clarinet concerto,
Jan Håkan Åberg ,Håkan Åberg ,Barenboim,Lute,,,Clarinet sonata,
Lasse Åberg ,Åberg ,Midori,Lyre,,,Classical ballet,
Johann Joseph Abert ,Joseph Abert ,Brendel,Marimba,,,Concert Aria,
4th Earl of Abingdon  ,Earl of Abingdon  ,Gould,Oboe,,,Concert overture,
Peter Ablinger ,Ablinger ,Hess,Organ,,,Concerto,
Lora Aborn ,Aborn ,Horowitz,Pan pipes,,,Concerto for Orchestra,
Girolamo Abos ,Abos ,Hough,Pennywhistle,,,Concerto grosso,
Paul Abraham ,Abraham ,Lang,Piano,,,Contemporary ballet,
Maurice Abrahams ,Abrahams ,Ogden,Recorder,,,Courante,
Hans Abrahamsen ,Abrahamsen ,Perahia,Saxophone,,,Cyclic mass,
Harriett Abrams ,Abrams ,Pires,Sitar,,,Dance,
Alexander Abramsky ,Abramsky ,Pollini,Synthesizer,,,Divertimento,
Kornél Ábrányi ,Ábrányi ,Rachmaninov,Tambourine,,,Double bass concerto,
Zequinha de Abreu ,de Abreu ,Richter,Triangle,,,Electronic music,
Ayoob Tarish Absi ,Tarish Absi ,Rubinstein,Trombone,,,Estampie,
Jean Absil ,Absil ,Thibaudet,Trumpet,,,Étude,
Franz Abt ,Abt ,Uchida,Tuba,,,Fantasia,
Henry Abyngdon ,Abyngdon ,,Viola,,,Film score,
Filippo Acciaiuoli ,Acciaiuoli ,,Violin,,,Flute concerto,
Jean-Baptiste Accolay ,Accolay ,,Fiddle,,,Flute sonata,
Joseph Achron ,Achron ,,Xylophone,,,Fugue,
Dieter Acker ,Acker ,,Zither,,,Galliard,
Marcial del Adalid ,del Adalid ,,,,,Gavotte,
Adolphe Adam ,Adam ,,,,,Gigue,
Adam de la Halle ,de la Halle ,,,,,Gregorian Chant,
Adam von Fulda ,von Fulda ,,,,,Hip hop,
Bernat Adam Ferrero  ,Adam Ferrero  ,,,,,Impromptu,
Adolphe Adam ,Adam ,,,,,Intermedio,
Mark Adamo ,Adamo ,,,,,Intermezzo,
'Alton Augustus Adams, Sr. ','Augustus Adams, Sr. ',,,,,Jazz,
H. Leslie Adams ,Leslie Adams ,,,,,Laude,
John Adams ,Adams ,,,,,Litany,
John Luther Adams ,Luther Adams ,,,,,Madrigal,
Stephen Adams  ,Adams  ,,,,,Madrigale spirituale,
Thomas Adams ,Adams ,,,,,March,
Ella Adayevskaya  ,Adayevskaya  ,,,,,Mass,
Richard Addinsell ,Addinsell ,,,,,Mazurka,
John Addison ,Addison ,,,,,Minimal music,
John Addison ,Addison ,,,,,Minuet,
Thomas Adès ,Adès ,,,,,Modern dance,
Vasif Adigezalov ,Adigezalov ,,,,,Moment form,
Hugo Adler ,Adler ,,,,,Motet,
Lawrence Cecil Adler ,Cecil Adler ,,,,,Motet-chanson,
Samuel Adler ,Adler ,,,,,Music hall,
Anton Cajetan Adlgasser ,Cajetan Adlgasser ,,,,,Musical theatre,
Bruce Adolphe ,Adolphe ,,,,,Neoclassical ballet,
Olle Adolphson ,Adolphson ,,,,,Nocturne,
Theodor W. Adorno ,W. Adorno ,,,,,Oboe concerto,
Emmanuel Adriaenssen ,Adriaenssen ,,,,,Oboe quartet,
John Adson ,Adson ,,,,,Opera,
Josina van Aerssen ,van Aerssen ,,,,,Opera buffa,
'Nikolay Afanas''yev ','Afanas''yev ',,,,,Opéra comique,
Zeca Afonso ,Afonso ,,,,,Opera seria,
Agostino Agazzari ,Agazzari ,,,,,Operetta,
Klaus Ager ,Ager ,,,,,Oratorio,
Milton Ager ,Ager ,,,,,Organum,
'François d''Agincourt ','d''Agincourt ',,,,,Overture,
Maria Teresa Agnesi ,Teresa Agnesi ,,,,,Paraphrase mass,
Lejla Agolli ,Agolli ,,,,,Parody mass,
Lodovico Agostini ,Agostini ,,,,,Partita,
Paolo Agostino ,Agostino ,,,,,Passacaglia,
Johan Agrell ,Agrell ,,,,,Passepied,
Alexander Agricola ,Agricola ,,,,,Pavane,
Johann Friedrich Agricola ,Friedrich Agricola ,,,,,Piano concerto,
Martin Agricola ,Agricola ,,,,,Piano quartet,
Dionisio Aguado ,Aguado ,,,,,Piano quintet,
Graciela Agudelo ,Agudelo ,,,,,Piano sonata,
Ernani Aguiar ,Aguiar ,,,,,Polonaise,
Miguel del Águila ,del Águila ,,,,,Popular song,
Sebastian Aguilera de Heredia ,Aguilera de Heredia ,,,,,Prelude,
Eden Ahbez ,Ahbez ,,,,,Program symphony,
Johann Georg Ahle ,Georg Ahle ,,,,,Protest song,
Johann Rudolph Ahle ,Rudolph Ahle ,,,,,Quartet,
Countess Maria Theresia Ahlefeldt ,Maria Theresia Ahlefeldt ,,,,,Quintet,
Jacob Niclas Ahlström ,Niclas Ahlström ,,,,,Requiem,
Ahn Eak-tai ,Eak-tai ,,,,,Rhapsody,
Oscar Ahnfelt ,Ahnfelt ,,,,,Ricercar,
Kalevi Aho ,Aho ,,,,,Rock And Roll,
Sieglinde Ahrens ,Ahrens ,,,,,Rondo,
Gregor Aichinger ,Aichinger ,,,,,Saltarello,
Bartholomäus Aich ,Aich ,,,,,Sarabande,
Karl Stefan Aichelburg ,Stefan Aichelburg ,,,,,Scherzo,
John Akar ,Akar ,,,,,Sequence,
Doris Akers ,Akers ,,,,,Serenade,
Toshiko Akiyoshi ,Akiyoshi ,,,,,Sinfonia,
Necil Kazım Akses ,Kazım Akses ,,,,,Sinfonia concertante,
Yasushi Akutagawa ,Akutagawa ,,,,,Singspiel,
Jehan Alain ,Alain ,,,,,Solo concerto,
Alamanda de Castelnau ,de Castelnau ,,,,,Sonata,
Pierre Alamire  ,Alamire  ,,,,,Soundtrack,
Johannes Alanus ,Alanus ,,,,,String quartet,
Jean-Delphin Alard ,Alard ,,,,,String quintet,
Albena Petrovic-Vratchanska ,Petrovic-Vratchanska ,,,,,Suite,
Isaac Albéniz ,Albéniz ,,,,,Symphonic poem,
Mateo Pérez de Albéniz ,Pérez de Albéniz ,,,,,Symphony,
Pedro Albéniz y Basanta ,Albéniz y Basanta ,,,,,Tiento,
Pedro Alberch Vila ,Alberch Vila ,,,,,Toccata,
Petur Alberg ,Alberg ,,,,,Trio sonata,
Eleanor Alberga ,Alberga ,,,,,Trumpet concerto,
Pirro Albergati ,Albergati ,,,,,Vaudeville,
Sebastián de Albero  ,de Albero  ,,,,,Viola concerto,
'Eugen d''Albert ','d''Albert ',,,,,Viola sonata,
Heinrich Albert ,Albert ,,,,,Violin concerto,
Stephen Albert ,Albert ,,,,,Violin sonata,
Thomas Albert ,Albert ,,,,,Waltz,
Domenico Alberti ,Alberti ,,,,,Zarzuela,
Gasparo Alberti ,Alberti ,,,,,,
Giuseppe Matteo Alberti ,Matteo Alberti ,,,,,,
Innocentio Alberti ,Alberti ,,,,,,
Johann Friedrich Alberti ,Friedrich Alberti ,,,,,,
Ignazio Albertini ,Albertini ,,,,,,
Joachim Albertini ,Albertini ,,,,,,
Henrico Albicastro  ,Albicastro  ,,,,,,
Tomaso Albinoni ,Albinoni ,,,,,,
Charles Albrecht ,Albrecht ,,,,,,
Johann Georg Albrechtsberger ,Georg Albrechtsberger ,,,,,,
William Albright ,Albright ,,,,,,
Mark Alburger ,Alburger ,,,,,,
Nilo Alcala ,Alcala ,,,,,,
Macedonio Alcalá ,Alcalá ,,,,,,
Luna Alcalay ,Alcalay ,,,,,,
José Bernardo Alcedo ,Bernardo Alcedo ,,,,,,
Michael Alcorn ,Alcorn ,,,,,,
Amancio Jacinto Alcorta ,Jacinto Alcorta ,,,,,,
Casimiro Alcorta ,Alcorta ,,,,,,
Henry Aldrich ,Aldrich ,,,,,,
